,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,mean_train_r2,std_train_r2,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_train_rmse,split1_train_rmse,split2_train_rmse,split3_train_rmse,mean_train_rmse,std_train_rmse
0,1.628656029701233,0.011174190333212734,0.012996971607208252,0.0015419766473852314,0.6247240713084175,1.9014286128198323,0.0831993941811405,1,3,714,0.6674996517121548,"{'colsample_bytree': 0.6247240713084175, 'gamma': 1.9014286128198323, 'learning_rate': 0.0831993941811405, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 714, 'subsample': 0.6674996517121548}",0.6480594453132834,0.6707237751942061,0.6464681054899833,0.648258049777481,0.6533773439437385,0.010038967473581663,6,0.6864065286879895,0.6835880149564924,0.6926343931031353,0.6959071493409215,0.6896340215221347,0.004881732982281035,-29966.17552718977,-29468.20548376234,-30159.41860037993,-28664.13402167917,29564.483408252803,577.7548999998016,6,-28091.548563167144,-28087.21343462813,-27797.310859256948,-28070.993649639593,28011.766626672954,124.05290670603728
1,1.6259291768074036,0.00607258370739264,0.014689266681671143,0.001027582767321446,0.45998494949080176,0.9184977839317343,0.04337086111390219,3,4,408,0.9819459112971965,"{'colsample_bytree': 0.45998494949080176, 'gamma': 0.9184977839317343, 'learning_rate': 0.04337086111390219, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 408, 'subsample': 0.9819459112971965}",0.6567352557714577,0.6720185992172485,0.6426606645436614,0.6515570260293966,0.6557428863904411,0.010660084197833578,4,0.726282403488907,0.7258289787806205,0.738045021155688,0.7364081525343773,0.7316411389898982,0.005617636900745336,-29594.517396980413,-29410.209002232554,-30321.38798475119,-28529.39736680978,29463.877937693484,638.0682645924991,4,-26244.816056228334,-26145.260099357612,-25661.880457448846,-26134.88948904426,26046.711525519764,226.28937817353892
2,1.616405725479126,0.01585382332743838,0.011331558227539062,0.0019309844978578255,0.899465584480253,0.4246782213565523,0.028182496720710062,1,3,559,0.7669918962929685,"{'colsample_bytree': 0.899465584480253, 'gamma': 0.4246782213565523, 'learning_rate': 0.028182496720710062, 'max_depth': 1, 'min_child_weight': 3, 'n_estimators': 559, 'subsample': 0.7669918962929685}",0.5823043191636641,0.627108184087124,0.5915066080373145,0.5957388043201841,0.5991644789020717,0.016848545029141442,10,0.6110717045146072,0.6056089006541041,0.6173613804755049,0.6188895251411042,0.6132328776963301,0.005287671769642819,-32645.75028074901,-31359.196646797714,-32419.11706265703,-30729.661067479992,31788.431264420935,780.7043548538321,10,-31284.33620293953,-31357.811447506854,-31014.84031118811,-31425.350034111983,31270.584498936616,155.84857263151324
3,2.165936827659607,0.009170564239364208,0.014657676219940186,0.0012375553269987657,0.40423978313183045,0.046124850082831514,0.06247746602583892,3,4,575,0.9842533113048755,"{'colsample_bytree': 0.40423978313183045, 'gamma': 0.046124850082831514, 'learning_rate': 0.06247746602583892, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 575, 'subsample': 0.9842533113048755}",0.6748776006982115,0.6696409673181117,0.6444872839044087,0.657993556080644,0.661749852000344,0.011690952732089758,2,0.7746105918426623,0.771352088237601,0.7846777278874719,0.7849372751501276,0.7788944207794657,0.006024962667569129,-28801.831652894907,-29516.618052523463,-30243.791440922294,-28264.667872796737,29206.727254784353,745.4781620399147,2,-23815.457340391236,-23876.23317056138,-23265.887611649177,-23606.807196833728,23641.09632985888,238.56258230996838
4,4.271305799484253,0.03429517848912513,0.018284618854522705,0.0005570506954609044,0.5396628042581826,0.1812128690656416,0.07183860093330872,3,4,931,0.680057735948788,"{'colsample_bytree': 0.5396628042581826, 'gamma': 0.1812128690656416, 'learning_rate': 0.07183860093330872, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 931, 'subsample': 0.680057735948788}",0.6669825403132099,0.6471513516157197,0.6235094152914111,0.6428007136571896,0.6451110052193826,0.015447436642499495,9,0.8421344493179775,0.839629680193141,0.8470340798149457,0.8455139252452999,0.843578033642841,0.0028881378995357877,-29149.43650966197,-30504.768374959465,-31123.30615061922,-28885.642597637638,29915.78840821957,929.1786861138743,9,-19931.310679540326,-19996.04886775359,-19609.76958364664,-20007.800591159405,19886.232430524993,162.2515191022784
5,3.727093279361725,0.023466666403549823,0.015507280826568604,0.0007356983775248007,0.9159642440417923,1.3606150771755594,0.05504992519695431,2,4,700,0.9793792198447356,"{'colsample_bytree': 0.9159642440417923, 'gamma': 1.3606150771755594, 'learning_rate': 0.05504992519695431, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 700, 'subsample': 0.9793792198447356}",0.6616297637313042,0.6777036127870097,0.6476582397702881,0.660330117595272,0.6618304334709686,0.010666537769586808,1,0.7237266568859315,0.7224135340282898,0.732231867791802,0.7338439669456991,0.7280540064129306,0.0050378331483584594,-29382.770249977257,-29154.206211391025,-30108.611278942382,-28167.951389806818,29203.38478252937,693.9299313266106,1,-26367.057472631608,-26307.60640910434,-25945.054870666907,-26261.700158780874,26220.354727795933,163.27431459973872
6,4.007005453109741,0.03688753960230104,0.01680457592010498,0.00212381550300046,0.8850384088698766,0.6092275383467414,0.01976721140063839,3,4,554,0.7659979946695725,"{'colsample_bytree': 0.8850384088698766, 'gamma': 0.6092275383467414, 'learning_rate': 0.01976721140063839, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 554, 'subsample': 0.7659979946695725}",0.6432290742955129,0.6679691180240697,0.6312115885610547,0.6412279287412583,0.645909427405474,0.013525504975987108,8,0.708067105200874,0.707780090041694,0.717615715774778,0.7153440287149467,0.7122017349330731,0.004354058604732872,-30171.117042018755,-29591.211232352918,-30803.303696645067,-28949.165965782227,29878.69948419974,686.855704388495,8,-27104.01888196597,-26992.126034800815,-26643.753702812868,-27159.06598824578,26974.74115195636,200.33927622385383
7,2.4747613072395325,0.0093311728866485,0.01302194595336914,0.00027382480200136103,0.8999169470416986,0.34672930701554416,0.049106060757324085,2,4,487,0.5870266456536466,"{'colsample_bytree': 0.8999169470416986, 'gamma': 0.34672930701554416, 'learning_rate': 0.049106060757324085, 'max_depth': 2, 'min_child_weight': 4, 'n_estimators': 487, 'subsample': 0.5870266456536466}",0.6513299480581152,0.6709333428028454,0.6431854267956166,0.6501132583083484,0.6538904939912313,0.010318443004613197,5,0.7118469989456366,0.7122135342586193,0.7202321917952513,0.722011654155249,0.716576094788689,0.004590986626534909,-29826.616153700248,-29458.82648246696,-30299.115925427006,-28588.441811557055,29543.250093287817,626.5811362694403,5,-26927.9782495269,-26786.586565664256,-26520.03049538687,-26839.101681379278,26768.42424798933,152.054353039052
8,4.9710609912872314,0.008064241850718846,0.011329829692840576,0.00042439050801549845,0.7120408127066865,1.0934205586865593,0.028485445552552703,3,4,829,0.6698524800218595,"{'colsample_bytree': 0.7120408127066865, 'gamma': 1.0934205586865593, 'learning_rate': 0.028485445552552703, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 829, 'subsample': 0.6698524800218595}",0.6660099615000663,0.673900180574412,0.6456076096378545,0.6593824237722399,0.6612250438711431,0.010378511791462604,3,0.7616140130113267,0.761248429343433,0.7708718488904641,0.7711983688136554,0.7662331650147198,0.00480507002568915,-29191.970999293924,-29325.726627031567,-30196.100272372627,-28207.218927319613,29230.254206504433,705.3439573083233,3,-24492.467232619623,-24398.06086944928,-24000.17311104835,-24349.174337594053,24309.968887677827,186.12921162428546
9,3.164312422275543,0.004944928520112672,0.013731181621551514,0.0016538491441383985,0.6370901416010887,1.8533177315875884,0.08272719958564209,3,4,561,0.5175897174514872,"{'colsample_bytree': 0.6370901416010887, 'gamma': 1.8533177315875884, 'learning_rate': 0.08272719958564209, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 561, 'subsample': 0.5175897174514872}",0.6699955301962394,0.6597546841327797,0.6282325236753512,0.6357981238294983,0.6484452154584672,0.017035418858829657,7,0.8122457695298715,0.8114431283177538,0.8193139881248432,0.8160859590582308,0.8147722112576748,0.0031551296098366152,-29017.271493878856,-29955.01767145869,-30927.46766614888,-29167.40765208591,29766.791120893082,758.887259578725,7,-21736.37109447204,-21682.201389771835,-21312.64813788519,-21830.421666189814,21640.41057207972,196.52437727621822
